1;300;50;738441204.1366743
1;300;60;924663594.8944467
1;300;70;1167062267.433954
1;300;80;1443166340.2006874
1;300;90;1528421156.0206602
1;300;100;1300576827.2719648
1;300;110;1088329555.7611942
1;300;120;1091942334.2272444
1;300;130;1123717221.5753562
1;300;140;1084799695.554452
1;300;150;1114802645.8106873
1;300;160;1006569596.1583364
1;300;170;1059922045.6708853
1;300;180;1040400057.4297782
1;300;190;1032147716.8963729
1;300;200;1083188426.1341672
1;300;210;1088048632.6699908
1;300;220;1082091459.8909318
1;300;230;1069562648.8424451
1;300;240;993621887.2720996
