0.5;300;180;1041615297.4655128
0.75;300;180;1034615867.2013899
1.0;300;180;1040400057.4297782
1.25;300;180;1044468403.209101
1.5;300;180;1050612846.1454369
1.75;300;180;973926886.0345949
2.0;300;180;962160092.9929069
2.25;300;180;905624174.3765105
2.5;300;180;939073981.9569056
2.75;300;180;933540323.9984107
3.0;300;180;881694753.064294
3.25;300;180;890652516.6509159
3.5;300;180;932012087.7911986
3.75;300;180;874772765.7739071
4.0;300;180;909361030.7695925
4.25;300;180;770527987.1674588
4.5;300;180;902147888.3909758
4.75;300;180;865264011.6805191
5.0;300;180;855535934.5615274
5.25;300;180;921935042.1668057
