1;300;50;732948194.9051553
1;300;60;917221660.660755
1;300;70;1157224221.4533796
1;300;80;1430668103.943398
1;300;90;1514997639.8120472
1;300;100;1289098918.4606102
1;300;110;1078744026.2429442
1;300;120;1082330913.2902813
1;300;130;1113813791.8612041
1;300;140;1075264106.8880596
1;300;150;1104990470.1056664
1;300;160;997777194.9677031
1;300;170;1050632569.5530097
1;300;180;1031298915.431054
1;300;190;1023128130.8947256
1;300;200;1073696197.7177949
1;300;210;1078513687.304425
1;300;220;1072617115.3445128
1;300;230;1060209657.1678569
1;300;240;984987617.5713127
